OBJECTID_1,NAME,YearDesign,SQMILES
27582,Wovoka Wilderness,2014,76.6
27783,Boundary Peak Wilderness,1989,16.44
27852,Alta Toquima Wilderness,1989,55.5
27856,Arc Dome Wilderness,1989,188.38
27860,Bald Mountain Wilderness,2006,34.96
27876,Grant Range Wilderness,1989,82
27889,High Schells Wilderness,2006,189.9
27911,Currant Mountain Wilderness,1989,73.88
27927,East Humboldts Wilderness,1989,57.29
28003,Quinn Canyon Wilderness,1989,41.03
28007,Mt. Rose Wilderness,1989,49.1
28037,Shellback Wilderness,2006,56.5
28060,Table Mountain Wilderness,1989,144.48
28081,Red Mountain Wilderness,2006,32.03
28093,Ruby Mountains Wilderness,1989,145.52
28109,Santa Rosa-Paradise Peak Wilderness,1989,50.09
28134,White Pine Range Wilderness,2006,62.54
28143,Jarbidge Wilderness,1964,172.65
28152,Worthington Mountains Wilderness,2004,47.82
28153,Fortification Range Wilderness,2004,47.73
28154,Meadow Valley Range Wilderness,2004,193.04
28156,Calico Mountains Wilderness,2000,101.6
28162,North Jackson Mountains Wilderness,2000,36.65
28167,Delamar Mountains Wilderness,2004,173.6
28168,South Jackson Mountains Wilderness,2000,85.28
28170,South McCullough Wilderness,2002,68.77
28171,Mormon Mountains Wilderness,2004,246.51
28176,Becky Peak Wilderness,2006,28.33
28182,Jumbo Springs Wilderness,2002,7.44
28185,East Fork High Rock Canyon Wilderness,2000,83.22
28189,Far South Egans Wilderness,2004,56.74
28192,North Black Rock Range Wilderness,2000,47.93
28193,High Rock Canyon Wilderness,2000,73.03
28194,Mt. Irish Wilderness,2004,44.2
28196,Goshute Canyon Wilderness,2006,66.52
28199,Clover Mountains Wilderness,2004,133.89
28201,Big Rocks Wilderness,2004,20.21
28202,South Pahroc Range Wilderness,2004,40.13
28203,Mount Grafton Wilderness,2006,123.09
28205,Little High Rock Canyon Wilderness,2000,76.54
28206,North McCullough Wilderness,2002,23.1
28208,Lime Canyon Wilderness,2002,37.06
28209,Black Rock Desert Wilderness,2000,492.34
28210,Highland Ridge Wilderness,2006,107.36
28211,Weepah Spring Wilderness,2004,80.19
28213,Wee Thump Joshua Tree Wilderness,2002,10.14
28219,Tunnel Spring Wilderness,2004,8.36
28221,South Egan Range Wilderness,2006,105.06
28227,Arrow Canyon Wilderness,2002,42.99
28228,Government Peak Wilderness,2006,9.87
28230,High Rock Lake Wilderness,2000,92.44
28231,Bristlecone Wilderness,2006,22.03
28233,White Rock Range Wilderness,2004,37.92
28234,Pahute Peak Wilderness,2000,88.97
28240,Parsnip Peak Wilderness,2004,68.01
28339,La Madre Mountain Wilderness,2002,43.98
28340,Rainbow Mountain Wilderness,2002,31.97
28341,La Madre Mountain Wilderness,2002,29.3
28342,Rainbow Mountain Wilderness,2002,7.15
28345,Mt. Charleston Wilderness,1989,3.4
28346,Mt. Charleston Wilderness,1989,85.87
28347,Mt. Moriah Wilderness,1989,13.59
28348,Mt. Moriah Wilderness,1989,125.01
39326,Pine Forest Range Wilderness,2014,43.08
39332,Jimbilnan Wilderness,2002,29.53
39333,Pinto Valley Wilderness,2002,61.52
39334,Black Canyon Wilderness,2002,26.8
39335,Nellis Wash Wilderness,2002,26.06
39336,Bridge Canyon Wilderness,2002,12.31
39344,Muddy Mountains Wilderness,2002,5.55
39345,Eldorado Wilderness,2002,40.98
39346,Ireteba Peaks Wilderness,2002,34.71
39347,Spirit Mountain Wilderness,2002,51.5
39348,Ireteba Peaks Wilderness,2002,16.15
39349,Spirit Mountain Wilderness,2002,0.86
39350,Muddy Mountains Wilderness,2002,69.76
39351,Eldorado Wilderness,2002,9.01
